X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
674;556;0.3514847;0.5154064;0.4569809;0.594727;511.5;0.1357372;False;2/21/2026 12:02:04 PM:246;1771668124246;;
718;560;0.3742685;0.5188076;0.456972;0.5947402;513.3;0.135753;False;2/21/2026 12:02:04 PM:279;1771668124279;;
748;542;0.3898106;0.5019433;0.4576401;0.4087009;515.4;0.1365702;False;2/21/2026 12:02:04 PM:312;1771668124312;;
768;529;0.4000431;0.490493;0.4576693;0.4087464;517.2;0.1365823;False;2/21/2026 12:02:04 PM:343;1771668124343;;
774;543;0.4033225;0.5029184;0.4329919;0.6114231;517.2;0.1329048;True;2/21/2026 12:02:04 PM:376;1771668124376;;
804;516;0.4188325;0.4780722;0.491869;0.3575631;516.7;0.1298132;True;2/21/2026 12:02:04 PM:410;1771668124410;;
805;544;0.4193893;0.5043488;0.430788;0.6515618;516.4;0.1318282;True;2/21/2026 12:02:04 PM:444;1771668124444;;
808;554;0.4212178;0.513715;0.4463093;0.6102;517.1;0.1276079;True;2/21/2026 12:02:04 PM:478;1771668124478;;
818;511;0.4262829;0.4740244;0.4706078;0.3248593;517.6;0.1325518;True;2/21/2026 12:02:04 PM:513;1771668124513;;
822;516;0.4285701;0.4778642;0.461109;0.5494842;516.4;0.1242995;True;2/21/2026 12:02:04 PM:546;1771668124546;;
823;511;0.4286875;0.4735382;0.4389041;0.427641;516.1;0.1328604;True;2/21/2026 12:02:04 PM:577;1771668124577;;
824;511;0.4292484;0.4735593;0.448796;0.4743724;515.9;0.132914;True;2/21/2026 12:02:04 PM:607;1771668124607;;
824;519;0.4291817;0.4806898;0.4262424;0.5637392;515.1;0.1229693;True;2/21/2026 12:02:04 PM:643;1771668124643;;
824;545;0.4294462;0.5052187;0.443409;0.6485726;515.8;0.1366828;False;2/21/2026 12:02:04 PM:677;1771668124677;;
825;556;0.4297956;0.5155777;0.4462157;0.6174751;516.3;0.1276233;True;2/21/2026 12:02:04 PM:711;1771668124711;;
826;560;0.4306215;0.5187332;0.4541216;0.5855055;515.6;0.1272044;True;2/21/2026 12:02:04 PM:746;1771668124746;;
828;565;0.4314162;0.5232949;0.4566087;0.6040375;515.5;0.1293122;True;2/21/2026 12:02:04 PM:777;1771668124777;;
843;504;0.4395464;0.4674883;0.5007986;0.302297;513.2;0.1354157;False;2/21/2026 12:02:04 PM:815;1771668124815;;
844;509;0.4397047;0.4719857;0.4585763;0.5586842;511.7;0.1391693;False;2/21/2026 12:02:04 PM:846;1771668124846;;
849;502;0.4426427;0.4653873;0.4874419;0.4118193;511.1;0.1389285;False;2/21/2026 12:02:04 PM:878;1771668124878;;
853;498;0.444298;0.4614282;0.4825506;0.4183911;511.9;0.1320659;True;2/21/2026 12:02:04 PM:909;1771668124909;;
870;451;0.4535316;0.417926;0.5258017;0.2565926;512.7;0.1320485;True;2/21/2026 12:02:04 PM:942;1771668124942;;
890;418;0.4636583;0.3874495;0.5389525;0.2541695;511.9;0.1368096;False;2/21/2026 12:02:04 PM:975;1771668124975;;
890;418;0.4639124;0.3874781;0.4775648;0.4142132;513.0;0.1349223;True;2/21/2026 12:02:05 PM:11;1771668125011;;
891;421;0.4640779;0.3903065;0.4789697;0.4534234;511.7;0.14429;False;2/21/2026 12:02:05 PM:44;1771668125044;;
902;381;0.4700616;0.3529428;0.5313161;0.2032839;511.4;0.1416483;False;2/21/2026 12:02:05 PM:76;1771668125076;;
911;351;0.4749775;0.3256406;0.5312986;0.2032742;511.1;0.1417086;False;2/21/2026 12:02:05 PM:112;1771668125112;;
914;343;0.476209;0.3183736;0.514062;0.2549665;510.4;0.1391297;False;2/21/2026 12:02:05 PM:145;1771668125145;;
913;368;0.475607;0.3413966;0.4673791;0.4761625;511.0;0.1431863;False;2/21/2026 12:02:05 PM:179;1771668125179;;
916;347;0.4772726;0.3221435;0.5160036;0.2111355;510.4;0.1458236;False;2/21/2026 12:02:05 PM:212;1771668125212;;
917;350;0.4776562;0.3241957;0.5055888;0.3721338;509.9;0.1441615;False;2/21/2026 12:02:05 PM:244;1771668125244;;
915;374;0.4770554;0.3464914;0.4678983;0.4830153;510.8;0.1359493;False;2/21/2026 12:02:05 PM:277;1771668125277;;
915;391;0.4765843;0.3627212;0.4678938;0.4830303;511.6;0.1359543;False;2/21/2026 12:02:05 PM:309;1771668125309;;
913;391;0.4759856;0.3628146;0.4648735;0.3803881;511.3;0.1414538;False;2/21/2026 12:02:05 PM:343;1771668125343;;
911;432;0.4745928;0.4008591;0.4538641;0.571618;511.4;0.1316019;True;2/21/2026 12:02:05 PM:377;1771668125377;;
913;423;0.4757479;0.3918408;0.5011297;0.3171456;510.6;0.1326555;True;2/21/2026 12:02:05 PM:411;1771668125411;;
914;420;0.4764645;0.3895124;0.4992018;0.3489934;511.6;0.1362235;False;2/21/2026 12:02:05 PM:444;1771668125444;;
917;411;0.477777;0.3806986;0.507321;0.2995097;511.5;0.1413592;False;2/21/2026 12:02:05 PM:478;1771668125478;;
917;411;0.4778486;0.3806885;0.4863651;0.3788776;511.5;0.1408682;False;2/21/2026 12:02:05 PM:513;1771668125513;;
919;400;0.478735;0.3704764;0.5048921;0.2816153;512.2;0.1349384;True;2/21/2026 12:02:05 PM:548;1771668125548;;
919;397;0.4789493;0.3680798;0.4972836;0.3196553;512.4;0.133956;True;2/21/2026 12:02:05 PM:585;1771668125585;;
918;417;0.4785022;0.38636;0.4639059;0.5460122;512.0;0.1382922;False;2/21/2026 12:02:05 PM:600;1771668125600;;
914;493;0.4764084;0.4567673;0.4543168;0.6360685;511.7;0.1387429;False;2/21/2026 12:02:05 PM:643;1771668125643;;
914;493;0.4763854;0.4564857;0.4751838;0.4470007;512.6;0.1313613;True;2/21/2026 12:02:05 PM:684;1771668125684;;
914;498;0.476175;0.461194;0.467261;0.5179325;512.6;0.1358086;False;2/21/2026 12:02:05 PM:710;1771668125710;;
913;513;0.4757723;0.4751888;0.4637002;0.56813;512.3;0.1388825;False;2/21/2026 12:02:05 PM:744;1771668125744;;
913;506;0.4759127;0.46871;0.4843174;0.3930331;512.9;0.1408709;False;2/21/2026 12:02:05 PM:778;1771668125778;;
914;502;0.4762856;0.4655038;0.4905889;0.4055503;515.5;0.1444228;False;2/21/2026 12:02:05 PM:811;1771668125811;;
915;499;0.4766249;0.4629468;0.4910016;0.4065594;517.6;0.1347393;True;2/21/2026 12:02:05 PM:845;1771668125845;;
919;467;0.4790626;0.4330054;0.5144709;0.2765997;518.7;0.1343191;True;2/21/2026 12:02:05 PM:878;1771668125878;;
921;449;0.4800779;0.4157951;0.5069788;0.2871999;519.8;0.1343031;True;2/21/2026 12:02:05 PM:908;1771668125908;;
920;482;0.479508;0.4466715;0.4689764;0.5698888;521.0;0.1294149;True;2/21/2026 12:02:05 PM:950;1771668125950;;
920;515;0.4794483;0.4773787;0.4761196;0.6308284;520.8;0.1223294;True;2/21/2026 12:02:05 PM:976;1771668125976;;
920;543;0.4793884;0.5033222;0.4761134;0.6308359;520.7;0.1223384;True;2/21/2026 12:02:06 PM:10;1771668126010;;
919;550;0.4791169;0.5099034;0.4701063;0.5708379;519.3;0.1242152;True;2/21/2026 12:02:06 PM:46;1771668126046;;
918;554;0.4785678;0.5129912;0.4638761;0.5577458;518.4;0.1224182;True;2/21/2026 12:02:06 PM:81;1771668126081;;
918;556;0.4785982;0.5150406;0.4822387;0.5579138;518.3;0.1211228;True;2/21/2026 12:02:06 PM:110;1771668126110;;
915;551;0.4769709;0.5101944;0.4499568;0.4505131;515.6;0.08812787;True;2/21/2026 12:02:06 PM:144;1771668126144;;
911;551;0.4746541;0.5101992;0.4417316;0.5111133;515.5;0.05213119;True;2/21/2026 12:02:06 PM:179;1771668126179;;
899;555;0.468571;0.5139396;0.4138183;0.5676788;512.6;0.05728034;True;2/21/2026 12:02:06 PM:212;1771668126212;;
892;558;0.4650348;0.5169624;0.4216956;0.5666797;509.5;0.07855213;True;2/21/2026 12:02:06 PM:248;1771668126248;;
891;559;0.4645155;0.5180026;0.440332;0.5541614;511.6;0.08960678;True;2/21/2026 12:02:06 PM:276;1771668126276;;
