X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
800;655;0.4170654;0.6070086;0.4170654;0.6070086;506.9;0.05351219;True;2/21/2026 11:59:39 AM:79;1771667979079;;
800;655;0.4170541;0.607;0.415508;0.6052357;507.0;0.1287502;True;2/21/2026 11:59:39 AM:166;1771667979166;;
800;654;0.4169453;0.6061344;0.4110634;0.5848554;506.6;0.06893252;True;2/21/2026 11:59:39 AM:227;1771667979227;;
805;647;0.4193532;0.5998033;0.4442929;0.5416739;508.1;0.1005889;True;2/21/2026 11:59:39 AM:286;1771667979286;;
806;650;0.420065;0.602165;0.4370738;0.6320046;509.9;0.1071504;True;2/21/2026 11:59:39 AM:338;1771667979338;;
811;650;0.4224814;0.6026071;0.4543885;0.6166356;510.5;0.119294;True;2/21/2026 11:59:39 AM:384;1771667979384;;
817;647;0.425625;0.5997322;0.4642958;0.5556221;511.2;0.118614;True;2/21/2026 11:59:39 AM:427;1771667979427;;
828;607;0.4316342;0.5626828;0.4837751;0.4168828;511.6;0.1123897;True;2/21/2026 11:59:39 AM:470;1771667979470;;
830;607;0.4328105;0.5626758;0.4642065;0.5620785;512.1;0.116113;True;2/21/2026 11:59:39 AM:510;1771667979510;;
831;607;0.4331153;0.5625412;0.4580695;0.5475198;513.9;0.1220684;True;2/21/2026 11:59:39 AM:542;1771667979542;;
828;619;0.4314515;0.5734453;0.4141482;0.6528323;514.4;0.1129056;True;2/21/2026 11:59:39 AM:583;1771667979583;;
828;620;0.4314865;0.5747765;0.4462643;0.6106241;514.9;0.1129151;True;2/21/2026 11:59:39 AM:610;1771667979610;;
828;619;0.4315449;0.5739459;0.4472362;0.5479133;516.4;0.1189847;True;2/21/2026 11:59:39 AM:638;1771667979638;;
828;619;0.4315583;0.5740324;0.4451132;0.5833888;518.2;0.1182473;True;2/21/2026 11:59:39 AM:668;1771667979668;;
829;619;0.4320297;0.5739352;0.4539009;0.5668755;520.1;0.1228717;True;2/21/2026 11:59:39 AM:710;1771667979710;;
829;620;0.4320787;0.5741535;0.4424867;0.5941516;519.2;0.1275129;True;2/21/2026 11:59:39 AM:725;1771667979725;;
849;513;0.4426846;0.4755768;0.5093119;0.258638;518.4;0.1275546;True;2/21/2026 11:59:39 AM:767;1771667979767;;
850;532;0.4427116;0.4928581;0.4434496;0.619483;519.0;0.1277717;True;2/21/2026 11:59:39 AM:803;1771667979803;;
760;564;0.3958944;0.5227834;0.2736623;0.6855341;519.8;0.1313809;True;2/21/2026 11:59:39 AM:836;1771667979836;;
663;617;0.3457175;0.5713337;0.2214125;0.7726615;519.2;0.1451523;False;2/21/2026 11:59:39 AM:867;1771667979867;;
659;645;0.3434783;0.5976329;0.3271203;0.7434019;518.4;0.1558543;False;2/21/2026 11:59:39 AM:901;1771667979901;;
634;650;0.3303962;0.6026286;0.2712162;0.67711;519.1;0.1735482;False;2/21/2026 11:59:39 AM:932;1771667979932;;
598;660;0.3116572;0.6114755;0.2376877;0.708058;518.5;0.1678576;False;2/21/2026 11:59:39 AM:965;1771667979965;;
588;680;0.3063529;0.6299559;0.2711245;0.7595754;517.7;0.1624143;False;2/21/2026 11:59:39 AM:999;1771667979999;;
588;681;0.3064352;0.6314161;0.3268918;0.6856344;516.2;0.1607316;False;2/21/2026 11:59:40 AM:32;1771667980032;;
592;688;0.3085549;0.6374659;0.3515154;0.724456;513.9;0.163064;False;2/21/2026 11:59:40 AM:66;1771667980066;;
593;687;0.3089016;0.6367082;0.3381619;0.6242681;513.0;0.1675711;False;2/21/2026 11:59:40 AM:99;1771667980099;;
633;684;0.3301313;0.6336586;0.4325346;0.5970786;513.5;0.161472;False;2/21/2026 11:59:40 AM:133;1771667980133;;
780;676;0.4065531;0.6267711;0.5719386;0.5632949;512.6;0.1696391;False;2/21/2026 11:59:40 AM:166;1771667980166;;
861;562;0.4486226;0.520671;0.5603225;0.2811553;512.4;0.1579675;False;2/21/2026 11:59:40 AM:201;1771667980201;;
905;534;0.4717896;0.4945925;0.5573963;0.3760236;513.1;0.1573955;False;2/21/2026 11:59:40 AM:233;1771667980233;;
923;439;0.4808201;0.4064968;0.5305555;0.1904008;510.0;0.1600998;False;2/21/2026 11:59:40 AM:265;1771667980265;;
977;383;0.5088744;0.3554967;0.5996444;0.2049843;508.4;0.1505517;False;2/21/2026 11:59:40 AM:299;1771667980299;;
