X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
875;717;0.4560115;0.6641882;0.4560115;0.6641882;573.6;0.1546342;False;3/7/2026 11:15:12 PM:242;1772918112242;;
876;718;0.4562607;0.6648363;0.4643551;0.6822103;571.0;0.1651954;False;3/7/2026 11:15:12 PM:308;1772918112308;;
869;723;0.4528274;0.6698362;0.4224093;0.7230451;566.9;0.14392;False;3/7/2026 11:15:12 PM:364;1772918112364;;
867;723;0.4518106;0.6698864;0.4328469;0.6812009;563.3;0.15135;False;3/7/2026 11:15:12 PM:423;1772918112423;;
857;723;0.4464963;0.6703535;0.403808;0.694146;558.9;0.1420846;False;3/7/2026 11:15:12 PM:477;1772918112477;;
857;735;0.4466447;0.6811636;0.4501387;0.7677652;559.9;0.1446185;False;3/7/2026 11:15:12 PM:522;1772918112522;;
856;744;0.4460996;0.6896101;0.4279213;0.7684689;558.5;0.1352691;False;3/7/2026 11:15:12 PM:573;1772918112573;;
856;745;0.4460879;0.690347;0.4358418;0.7312191;557.2;0.1354987;False;3/7/2026 11:15:12 PM:620;1772918112620;;
843;750;0.4395602;0.6946939;0.3795785;0.773052;555.8;0.1367203;False;3/7/2026 11:15:12 PM:651;1772918112651;;
839;754;0.4372421;0.6983452;0.3973466;0.7737955;554.6;0.1361129;False;3/7/2026 11:15:12 PM:683;1772918112683;;
842;754;0.438616;0.69875;0.4581873;0.7209046;555.6;0.1352176;False;3/7/2026 11:15:12 PM:713;1772918112713;;
854;753;0.4448359;0.6977954;0.4686845;0.6916404;556.6;0.1384972;False;3/7/2026 11:15:12 PM:887;1772918112887;;
849;770;0.4422623;0.7136031;0.4202205;0.7964156;557.0;0.1270943;True;3/7/2026 11:15:12 PM:967;1772918112967;;
826;763;0.4304489;0.706595;0.3622459;0.6470535;555.9;0.1726179;False;3/7/2026 11:15:13 PM:3;1772918113003;;
786;762;0.4097998;0.7062361;0.3373689;0.698327;555.1;0.1553651;False;3/7/2026 11:15:13 PM:63;1772918113063;;
759;757;0.3953744;0.7017397;0.323953;0.653199;555.3;0.1680395;False;3/7/2026 11:15:13 PM:106;1772918113106;;
739;754;0.3852962;0.6983954;0.3232767;0.6531194;555.6;0.1677428;False;3/7/2026 11:15:13 PM:151;1772918113151;;
725;737;0.3777995;0.6832588;0.3166698;0.5779142;555.9;0.1842429;False;3/7/2026 11:15:13 PM:187;1772918113187;;
721;723;0.3757637;0.669919;0.3366891;0.5645077;556.2;0.183441;False;3/7/2026 11:15:13 PM:221;1772918113221;;
723;700;0.3768058;0.6485794;0.3906245;0.5200626;558.4;0.1899359;False;3/7/2026 11:15:13 PM:257;1772918113257;;
729;691;0.3797388;0.6398541;0.403161;0.563152;557.4;0.1976084;False;3/7/2026 11:15:13 PM:313;1772918113313;;
731;686;0.3810907;0.6358612;0.4033198;0.5631714;556.5;0.1976979;False;3/7/2026 11:15:13 PM:345;1772918113345;;
731;686;0.3811936;0.6353689;0.3872487;0.5925336;558.5;0.1782111;False;3/7/2026 11:15:13 PM:375;1772918113375;;
732;685;0.3812697;0.6349853;0.3871011;0.5925149;560.4;0.178148;False;3/7/2026 11:15:13 PM:403;1772918113403;;
732;690;0.3816617;0.6395967;0.395779;0.6888835;561.5;0.1290868;True;3/7/2026 11:15:13 PM:432;1772918113432;;
733;694;0.3819092;0.6427661;0.3949014;0.6887903;562.5;0.1286882;True;3/7/2026 11:15:13 PM:457;1772918113457;;
734;694;0.382631;0.6427309;0.4043885;0.6405361;561.1;0.1502184;False;3/7/2026 11:15:13 PM:483;1772918113483;;
735;694;0.3832663;0.6426995;0.4044067;0.6405379;559.8;0.1502271;False;3/7/2026 11:15:13 PM:510;1772918113510;;
736;694;0.3837593;0.6426753;0.4045211;0.6405498;558.7;0.150281;False;3/7/2026 11:15:13 PM:535;1772918113535;;
672;655;0.3500997;0.6068958;0.2300241;0.4263769;563.0;0.1533793;False;3/7/2026 11:15:13 PM:562;1772918113562;;
623;624;0.3249619;0.5784159;0.2300528;0.4263777;566.8;0.153395;False;3/7/2026 11:15:13 PM:592;1772918113592;;
620;622;0.3234068;0.5768331;0.3029883;0.534762;573.3;0.1669733;False;3/7/2026 11:15:13 PM:618;1772918113618;;
621;612;0.3234972;0.5672752;0.3321877;0.4499742;579.2;0.1665664;False;3/7/2026 11:15:13 PM:636;1772918113636;;
621;605;0.3237842;0.5604228;0.3486895;0.4601877;584.4;0.1661003;False;3/7/2026 11:15:13 PM:655;1772918113655;;
614;563;0.3202057;0.5219884;0.2799106;0.3172139;588.3;0.1679085;False;3/7/2026 11:15:13 PM:677;1772918113677;;
610;541;0.3181514;0.5010536;0.279981;0.3172194;591.7;0.167944;False;3/7/2026 11:15:13 PM:691;1772918113691;;
610;497;0.3181786;0.4602418;0.3223044;0.2095688;594.8;0.1675667;False;3/7/2026 11:15:13 PM:706;1772918113706;;
610;460;0.318204;0.4267182;0.322208;0.20954;597.6;0.1675246;False;3/7/2026 11:15:13 PM:720;1772918113720;;
611;451;0.3182632;0.4178285;0.3316646;0.3158117;596.5;0.1812178;False;3/7/2026 11:15:13 PM:736;1772918113736;;
610;452;0.3180789;0.4190579;0.3085684;0.4787165;595.5;0.1811189;False;3/7/2026 11:15:13 PM:751;1772918113751;;
610;453;0.3179061;0.4201964;0.3084976;0.4787153;594.6;0.1810804;False;3/7/2026 11:15:13 PM:765;1772918113765;;
610;455;0.3177299;0.4213634;0.3085385;0.4787161;593.8;0.1811026;False;3/7/2026 11:15:13 PM:782;1772918113782;;
680;429;0.3543319;0.3976689;0.5157178;0.2333262;592.7;0.1844006;False;3/7/2026 11:15:13 PM:799;1772918113799;;
721;421;0.3757315;0.3904895;0.5033256;0.2975345;591.6;0.1840986;False;3/7/2026 11:15:13 PM:815;1772918113815;;
756;414;0.3942104;0.3837645;0.5033376;0.2975278;590.7;0.1840324;False;3/7/2026 11:15:13 PM:831;1772918113831;;
797;399;0.4152254;0.3702014;0.5105131;0.2631786;589.9;0.1845642;False;3/7/2026 11:15:13 PM:855;1772918113855;;
800;394;0.4168907;0.3650964;0.4421533;0.2897162;589.6;0.1757968;False;3/7/2026 11:15:13 PM:873;1772918113873;;
