timestamp,session_id,level_number,value
1781385331.372,live_session,1,"(0.0, 0.0)"
1781385331.386,live_session,1,"(0.0, 0.0)"
1781385331.399,live_session,1,"(0.0, 0.0)"
1781385331.412,live_session,1,"(0.0, 0.0)"
1781385331.426,live_session,1,"(0.0, 0.0)"
1781385331.439,live_session,1,"(0.0, 0.0)"
1781385331.452,live_session,1,"(0.0, 0.0)"
1781385331.465,live_session,1,"(0.0, 0.0)"
1781385331.478,live_session,1,"(0.0, 0.0)"
1781385331.491,live_session,1,"(0.0, 0.0)"
1781385331.504,live_session,1,"(0.0, 0.0)"
1781385331.517,live_session,1,"(0.0, 0.0)"
1781385331.530,live_session,1,"(0.0, 0.0)"
1781385331.544,live_session,1,"(0.0, 0.0)"
1781385331.557,live_session,1,"(0.0, 0.0)"
1781385331.569,live_session,1,"(0.0, 0.0)"
1781385331.582,live_session,1,"(0.0, 0.0)"
1781385331.595,live_session,1,"(0.0, 0.0)"
1781385331.608,live_session,1,"(0.0, 0.0)"
1781385331.621,live_session,1,"(0.0, 0.0)"
1781385331.634,live_session,1,"(0.0, 0.0)"
1781385331.647,live_session,1,"(0.0, 0.0)"
1781385331.660,live_session,1,"(0.0, 0.0)"
1781385331.673,live_session,1,"(0.0, 0.0)"
1781385331.686,live_session,1,"(0.0, 0.0)"
1781385331.699,live_session,1,"(0.0, 0.0)"
1781385331.712,live_session,1,"(0.0, 0.0)"
1781385331.725,live_session,1,"(0.0, 0.0)"
1781385331.738,live_session,1,"(0.0, 0.0)"
1781385331.751,live_session,1,"(0.0, 0.0)"
1781385331.764,live_session,1,"(0.0, 0.0)"
1781385331.777,live_session,1,"(0.0, 0.0)"
1781385331.790,live_session,1,"(0.0, 0.0)"
1781385331.803,live_session,1,"(0.0, 0.0)"
1781385331.816,live_session,1,"(0.0, 0.0)"
1781385331.829,live_session,1,"(0.0, 0.0)"
1781385331.841,live_session,1,"(0.0, 0.0)"
1781385331.855,live_session,1,"(0.0, 0.0)"
1781385331.868,live_session,1,"(0.0, 0.0)"
1781385331.880,live_session,1,"(0.0, 0.0)"
1781385331.893,live_session,1,"(0.0, 0.0)"
1781385331.906,live_session,1,"(0.0, 0.0)"
1781385331.918,live_session,1,"(0.0, 0.0)"
1781385331.931,live_session,1,"(0.0, 0.0)"
1781385331.945,live_session,1,"(0.0, 0.0)"
1781385331.957,live_session,1,"(0.0, 0.0)"
1781385331.970,live_session,1,"(0.0, 0.0)"
1781385331.983,live_session,1,"(0.0, 0.0)"
1781385331.995,live_session,1,"(0.0, 0.0)"
1781385332.008,live_session,1,"(0.0, 0.0)"
1781385332.020,live_session,1,"(0.0, 0.0)"
1781385332.033,live_session,1,"(0.0, 0.0)"
1781385332.046,live_session,1,"(0.0, 0.0)"
1781385332.060,live_session,1,"(0.0, 0.0)"
1781385332.073,live_session,1,"(0.0, 0.0)"
1781385332.086,live_session,1,"(0.0, 0.0)"
1781385332.100,live_session,1,"(0.0, 0.0)"
1781385332.112,live_session,1,"(0.0, 0.0)"
1781385332.126,live_session,1,"(0.0, 0.0)"
1781385332.140,live_session,1,"(0.0, 0.0)"
1781385332.153,live_session,1,"(0.0, 0.0)"
1781385332.166,live_session,1,"(0.0, 0.0)"
1781385332.178,live_session,1,"(0.0, 0.0)"
1781385332.191,live_session,1,"(0.0, 0.0)"
1781385332.205,live_session,1,"(0.0, 0.0)"
1781385332.218,live_session,1,"(0.0, 0.0)"
1781385332.231,live_session,1,"(0.0, 0.0)"
1781385332.245,live_session,1,"(0.0, 0.0)"
1781385332.258,live_session,1,"(0.0, 0.0)"
1781385332.271,live_session,1,"(0.0, 0.0)"
1781385332.284,live_session,1,"(0.0, 0.0)"
1781385332.298,live_session,1,"(0.0, 0.0)"
1781385332.311,live_session,1,"(0.0, 0.0)"
1781385332.324,live_session,1,"(0.0, 0.0)"
1781385332.338,live_session,1,"(0.0, 0.0)"
1781385332.351,live_session,1,"(0.0, 0.0)"
1781385332.364,live_session,1,"(0.0, 0.0)"
1781385332.378,live_session,1,"(0.0, 0.0)"
1781385332.390,live_session,1,"(0.0, 0.0)"
1781385332.403,live_session,1,"(0.0, 0.0)"
1781385332.416,live_session,1,"(0.0, 0.0)"
1781385332.429,live_session,1,"(0.0, 0.0)"
1781385332.442,live_session,1,"(0.0, 0.0)"
1781385332.455,live_session,1,"(0.0, 0.0)"
1781385332.468,live_session,1,"(0.0, 0.0)"
1781385332.481,live_session,1,"(0.0, 0.0)"
1781385332.494,live_session,1,"(0.0, 0.0)"
1781385332.508,live_session,1,"(0.0, 0.0)"
1781385332.521,live_session,1,"(0.0, 0.0)"
1781385332.534,live_session,1,"(0.0, 0.0)"
1781385332.547,live_session,1,"(0.0, 0.0)"
1781385332.560,live_session,1,"(0.0, 0.0)"
1781385332.573,live_session,1,"(0.0, 0.0)"
1781385332.586,live_session,1,"(0.0, 0.0)"
1781385332.599,live_session,1,"(0.0, 0.0)"
1781385332.611,live_session,1,"(0.0, 0.0)"
1781385332.625,live_session,1,"(0.0, 0.0)"
1781385332.638,live_session,1,"(0.0, 0.0)"
1781385332.651,live_session,1,"(0.0, 0.0)"
1781385332.663,live_session,1,"(0.0, 0.0)"
1781385332.678,live_session,1,"(0.0, 0.0)"
1781385332.691,live_session,1,"(0.0, 0.0)"
1781385332.705,live_session,1,"(0.0, 0.0)"
1781385332.718,live_session,1,"(0.0, 0.0)"
1781385332.731,live_session,1,"(0.0, 0.0)"
1781385332.745,live_session,1,"(0.0, 0.0)"
1781385332.757,live_session,1,"(0.0, 0.0)"
1781385332.771,live_session,1,"(0.0, 0.0)"
1781385332.784,live_session,1,"(0.0, 0.0)"
1781385332.797,live_session,1,"(0.0, 0.0)"
1781385332.812,live_session,1,"(0.0, 0.0)"
1781385332.826,live_session,1,"(0.0, 0.0)"
1781385332.838,live_session,1,"(0.0, 0.0)"
1781385332.851,live_session,1,"(0.0, 0.0)"
1781385332.864,live_session,1,"(0.0, 0.0)"
1781385332.878,live_session,1,"(0.0, 0.0)"
1781385332.891,live_session,1,"(0.0, 0.0)"
1781385332.903,live_session,1,"(0.0, 0.0)"
1781385332.916,live_session,1,"(0.0, 0.0)"
1781385332.929,live_session,1,"(0.0, 0.0)"
1781385332.942,live_session,1,"(0.0, 0.0)"
1781385332.954,live_session,1,"(0.0, 0.0)"
1781385332.968,live_session,1,"(0.0, 0.0)"
1781385332.981,live_session,1,"(0.0, 0.0)"
1781385332.994,live_session,1,"(0.0, 0.0)"
1781385333.007,live_session,1,"(0.0, 0.0)"
1781385333.019,live_session,1,"(0.0, 0.0)"
1781385333.032,live_session,1,"(0.0, 0.0)"
1781385333.045,live_session,1,"(0.0, 0.0)"
1781385333.057,live_session,1,"(0.0, 0.0)"
1781385333.070,live_session,1,"(0.0, 0.0)"
1781385333.082,live_session,1,"(0.0, 0.0)"
1781385333.095,live_session,1,"(0.0, 0.0)"
1781385333.108,live_session,1,"(0.0, 0.0)"
1781385333.120,live_session,1,"(0.0, 0.0)"
1781385333.132,live_session,1,"(0.0, 0.0)"
1781385333.146,live_session,1,"(0.0, 0.0)"
1781385333.160,live_session,1,"(0.0, 0.0)"
1781385333.173,live_session,1,"(0.0, 0.0)"
1781385333.186,live_session,1,"(0.0, 0.0)"
1781385333.198,live_session,1,"(0.0, 0.0)"
1781385333.212,live_session,1,"(0.0, 0.0)"
1781385333.225,live_session,1,"(0.0, 0.0)"
1781385333.239,live_session,1,"(0.0, 0.0)"
1781385333.252,live_session,1,"(0.0, 0.0)"
1781385333.265,live_session,1,"(0.0, 0.0)"
1781385333.278,live_session,1,"(0.0, 0.0)"
1781385333.290,live_session,1,"(0.0, 0.0)"
1781385333.305,live_session,1,"(0.0, 0.0)"
1781385333.319,live_session,1,"(0.0, 0.0)"
1781385333.331,live_session,1,"(0.0, 0.0)"
1781385333.344,live_session,1,"(0.0, 0.0)"
1781385333.357,live_session,1,"(0.0, 0.0)"
1781385333.370,live_session,1,"(0.0, 0.0)"
1781385333.383,live_session,1,"(0.0, 0.0)"
1781385333.395,live_session,1,"(0.0, 0.0)"
1781385333.408,live_session,1,"(0.0, 0.0)"
1781385333.421,live_session,1,"(0.0, 0.0)"
1781385333.434,live_session,1,"(0.0, 0.0)"
1781385333.447,live_session,1,"(0.0, 0.0)"
1781385333.461,live_session,1,"(0.0, 0.0)"
1781385333.473,live_session,1,"(0.0, 0.0)"
1781385333.487,live_session,1,"(0.0, 0.0)"
1781385333.500,live_session,1,"(0.0, 0.0)"
1781385333.513,live_session,1,"(0.0, 0.0)"
1781385333.527,live_session,1,"(0.0, 0.0)"
1781385333.539,live_session,1,"(0.0, 0.0)"
1781385333.552,live_session,1,"(0.0, 0.0)"
1781385333.565,live_session,1,"(0.0, 0.0)"
1781385333.579,live_session,1,"(0.0, 0.0)"
1781385333.592,live_session,1,"(0.0, 0.0)"
1781385333.605,live_session,1,"(0.0, 0.0)"
1781385333.618,live_session,1,"(0.0, 0.0)"
1781385333.630,live_session,1,"(0.0, 0.0)"
1781385333.643,live_session,1,"(0.0, 0.0)"
1781385333.657,live_session,1,"(0.0, 0.0)"
1781385333.670,live_session,1,"(0.0, 0.0)"
1781385333.683,live_session,1,"(0.0, 0.0)"
1781385333.696,live_session,1,"(0.0, 0.0)"
1781385333.708,live_session,1,"(0.0, 0.0)"
1781385333.721,live_session,1,"(0.0, 0.0)"
1781385333.735,live_session,1,"(0.0, 0.0)"
1781385333.747,live_session,1,"(0.0, 0.0)"
1781385333.761,live_session,1,"(0.0, 0.0)"
1781385333.774,live_session,1,"(0.0, 0.0)"
1781385333.788,live_session,1,"(0.0, 0.0)"
1781385333.801,live_session,1,"(0.0, 0.0)"
1781385333.813,live_session,1,"(0.0, 0.0)"
1781385333.827,live_session,1,"(0.0, 0.0)"
1781385333.840,live_session,1,"(0.0, 0.0)"
1781385333.853,live_session,1,"(0.0, 0.0)"
1781385333.866,live_session,1,"(0.0, 0.0)"
1781385333.880,live_session,1,"(0.0, 0.0)"
1781385333.893,live_session,1,"(0.0, 0.0)"
1781385333.907,live_session,1,"(0.0, 0.0)"
1781385333.920,live_session,1,"(0.0, 0.0)"
1781385333.933,live_session,1,"(0.0, 0.0)"
1781385333.946,live_session,1,"(0.0, 0.0)"
1781385333.958,live_session,1,"(0.0, 0.0)"
1781385333.972,live_session,1,"(0.0, 0.0)"
